ID,Rank,Name,Symbol,Slug,Market_pairs,Added,Tags,Max_supply,Circulating_supply,Last_updated,Platform,Price,Volume,Market_cap,Hour_change,Day_change,Week_change,Last_updated_quote
1,1,Bitcoin,BTC,bitcoin,7789,2013-04-28T00:00:00.000Z,['mineable'],21000000,18071962,2019-11-28T14:27:36.000Z,,7551.28246258,21416781900.673,136466489715.01219,0.0119825,3.78589,-3.54522,2019-11-28T14:27:36.000Z
1027,2,Ethereum,ETH,ethereum,5366,2015-08-07T00:00:00.000Z,['mineable'],,108724457.3115,2019-11-28T14:28:25.000Z,,152.685293601,7981322048.69076,16600625686.215769,-0.203852,2.60792,-8.49891,2019-11-28T14:28:25.000Z
52,3,XRP,XRP,ripple,507,2013-08-04T00:00:00.000Z,[],100000000000,43299885509,2019-11-28T14:28:06.000Z,,0.227542556634,1421168020.23888,9852566650.67735,-0.016902,2.54637,-7.12085,2019-11-28T14:28:06.000Z
825,4,Tether,USDT,tether,3939,2015-02-25T00:00:00.000Z,[],,4108044456.1,2019-11-28T14:28:20.000Z,"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",1.01335368929,24148017931.983,4162902005.356266,0.00782912,0.772392,0.799564,2019-11-28T14:28:20.000Z
1831,5,Bitcoin Cash,BCH,bitcoin-cash,447,2017-07-23T00:00:00.000Z,['mineable'],21000000,18137650,2019-11-28T14:28:08.000Z,,221.097550775,1622884653.64607,4010189991.814179,0.13399,3.41748,-4.93631,2019-11-28T14:28:08.000Z
2,6,Litecoin,LTC,litecoin,560,2013-04-28T00:00:00.000Z,['mineable'],84000000,63725987.8112525,2019-11-28T14:28:05.000Z,,47.4951886326,2827676292.39935,3026677811.8942056,-0.056874,0.742531,-8.54938,2019-11-28T14:28:05.000Z
1765,7,EOS,EOS,eos,397,2017-07-01T00:00:00.000Z,[],,942081085.8939,2019-11-28T14:28:08.000Z,,2.67829816934,1727716447.90105,2523174047.719472,-0.193945,1.40666,-8.14046,2019-11-28T14:28:08.000Z
1839,8,Binance Coin,BNB,binance-coin,280,2017-07-25T00:00:00.000Z,[],187536713,155536713,2019-11-28T14:28:08.000Z,,15.9249479668,214951251.739962,2476914061.452105,0.00497757,2.26377,-7.00954,2019-11-28T14:28:08.000Z
3602,9,Bitcoin SV,BSV,bitcoin-sv,158,2018-11-09T00:00:00.000Z,['mineable'],21000000,18068415,2019-11-28T14:28:12.000Z,,108.119575716,397920779.88563,1953549363.6606102,-0.0477579,1.1486,6.58912,2019-11-28T14:28:12.000Z
512,10,Stellar,XLM,stellar,307,2014-08-05T00:00:00.000Z,[],,20054779553.7,2019-11-28T14:28:02.000Z,,0.0585461060278,237026423.911032,1174129250.1150758,-0.108927,0.103108,-5.74067,2019-11-28T14:28:02.000Z
